"Year","East Asia","South-East Asia","Central Asia","Central America"
1990,8098.902488,12820.84911,0,3055.543
1991,6682.411424,13639.28472,0,5273.173
1992,15762.1889,12739.08357,118.00001,4980.093
1993,35371.53091,16585.33815,1417.4,5069.585
1994,42980.08882,20495.89449,885.88,11837.087
1995,45304.8825,28632.37054,1279.3347,10365.1235
1996,54073.60649,32915.17071,1399.7327,10308.533
1997,58900.00689,35939.67962,1697.608287,14990.857
1998,59685.04624,20925.62074,1501.959897,16659.7722
1999,68636.89432,31011.3161,1735.010672,16380.99041
2000,100274.8829,21751.28921,1509.406699,20612.16293
2001,80250.43783,22161.41513,3102.301,32425.08641
2002,58311.05276,16188.06467,2972.24897,26201.222
2003,72389.53632,30653.95723,2477.8226,20777.08052
2004,92324.36248,38085.52169,5134.991587,28576.55063
2005,109513.4434,42979.61939,2637.793,30064.59115
2006,123695.0061,64538.44982,7554.601,27379.64773
2007,152392.7213,78024.73718,13286.557,40128.40718
2008,175666.2272,50062.11885,17501.799,37412.91518
2009,153962.9281,42483.7126,18958.207,22492.25057
2010,192303.3264,112880.3353,17440.72595,33580.4586
2011,224008.6931,87024.9054,19873.09531,34730.33379
2012,202831.4357,116982.1883,17757.65113,30998.29624
2013,208569.1506,120346.0679,14826.93164,58441.18772
2014,248225.392,130174.0789,13827.4946,42132.08107
2015,313503.5399,119048.9133,9854.341991,47114.05718
2016,258665.3755,113321.7185,13381.4702,41831.46804
2017,253391.4948,157336.0549,8797.396082,45327.34907
2018,254454.7332,148970.9946,6632.702964,45058.74856
2019,232334.5167,166685.3415,8222.77646,44007.61109
2020,284850.1518,118596.4492,6539.167185,32577.37709
2021,333521.8202,212811.6686,7209.907107,42562.00626
2022,323560.7554,222567.9382,10040.7181,44480.34089